단어,빈도
의하여,77
다,7555
첨,36
같은,321
필요한,1363
있는,881
부드럽고,2
매끄럽게,40
혹은,138
없는,83
신선한,3
또는,1810
확실히,1
유사한,18
용이하도록,63
정확하게,29
안전하게,79
화하기,48
원활히,71
있도록,686
연결한다,158
간단한,61
건조하고,10
부드럽게,25
착해,1
원활하도록,5
성한다,25
균일하게,46
필요하거나,2
불편한,8
일정한,344
있는지,135
연하여,5
적합한,341
괴로,2
연하는,5
강화하기,5
골고루,26
원하는,151
안전한,56
역하기,5
굴진,6
칠한다,34
칠하는,6
수선하기,4
원활한,110
입주에,1
연결하여,57
안전하고,28
가능한,125
있거나,16
연결하고,86
바람직한,6
화할,15
적절하게,32
유용한,21
다양한,471
원활하게,43
적절히,35
화하여,74
성하고,2
즐겁고,1
있게,29
좋게,11
매끈하게,17
굵은,12
의한,112
아름답게,11
우수한,25
적합한지,38
공정한,7
신속하게,16
얇은,25
있어서,25
의해,176
얇게,23
착하는,10
적당한,123
수선한다,20
새로운,293
건조하는,22
두꺼운,7
높은,68
부산하,1
정확히,42
입주한,1
입주,9
많은,26
같이,27
어떠한,5
가벼운,9
정확한,55
인하여,11
낡은,20
옛,1
유치하기,11
탁하는,1
깍,1
있으며,17
용이하게,19
설치하거나,22
화한다,71
수선하고,6
분하기,1
독특한,6
건조하는데,1
건조한다,69
유치하거나,2
복잡하고,2
가능하도록,30
없도록,38
미,48
장하거나,1
적응하기,1
특정한,26
해로운,3
숙성하는,5
단단하게,10
불규칙한,12
불필요한,36
반한다,19
편하게,2
착하여,26
미치는,76
없이,30
바쁜,1
함께,312
우수하고,2
설치용,3
적절한,189
습한,2
갈아,32
일정하게,102
힘든,4
있어,39
대차기,1
착한다,77
특수한,18
균일한,26
반해,2
건강한,10
회복하도록,2
쇠퇴하는,1
어려운,27
칠하고,15
불가능한,21
쉬운,5
평탄하게,11
회복하고,2
인한,76
둥근,18
원하지,1
좋고,1
붐오퍼,2
부여하거나,2
평평하면서,1
고급스러운,1
볼록,3
연하게,2
착하거나,1
더하고,1
나란히,4
가늘고,3
오목하게,1
넓은,4
미세한,21
좋은,21
알맞은,75
섬세한,1
동일한,28
장하기,1
건조하기,20
작은,44
건조한,15
연결한,19
간략한,2
순수한,8
굵기,17
미치지,2
있을,101
성하기,2
적합하도록,21
성하여,12
넘치는,1
굵기의,6
단순한,5
진하여,1
매끄러운,2
신선한다,1
좋아하는,2
유치하여,1
진하기,4
착하고,26
무건,2
있으면서,1
적합한지를,7
적정한,45
진한다,14
건강하고,5
유익한,2
알맞게,26
이러한,35
깊게,8
아름답고,1
조화롭게,4
수시로,217
정확하고,2
균등하게,6
안될,1
완전하게,5
올바른,15
좁은,3
깨끗이,51
우,8
아직,4
아니한,1
희,46
아름다,5
단단하고,1
쾌적하고,2
아닌,17
공정하게,2
자유로운,3
무거운,5
곱슬곱슬한,1
강화하고,1
기대했던,1
있는데,2
존하는,3
새로,16
더하여,1
가늘게,5
신선하는,1
높아,2
불량한,18
축축한,4
새롭게,10
민첩한,1
의해서,11
높을,8
착하기,7
역구내,3
연결하는,15
편안한,2
역내의,2
불가능하거나,2
가깝게,1
견고하고,1
적합하게,10
복잡한,11
예쁘게,1
뜨거운,7
완전히,63
대차기나,1
엄격한,1
평평하게,5
모질,3
성하는,9
청결하게,12
상실한,1
쾌적한,7
매끄럽고,1
선한다,1
즐거운,1
소중함을,1
미칠,7
똑같이,2
헐거운,7
직하는데,1
흡사하게,1
폭넓게,3
화하는,13
투명한,9
있으면,49
정교하게,2
신속하고,5
미에,2
연결하기,9
둥글게,4
높고,4
인해,15
직하고자,2
숙성하고자,1
있고,15
가깝도록,4
없는지,79
심한,6
필요할,18
강하는,1
성한,1
특히,11
짧은,6
평활하게,3
연결하거나,8
특이한,2
직하기,1
굵기로,3
강하고,3
낮은,14
말랑말랑한,1
수선하는,4
꼬불꼬불,2
묽은,5
대차기로,1
아름다운,5
되게,28
칠해,1
느슨하게,6
연신,6
적절한지,6
용이한,9
반하여,9
다를,12
변하는,4
더운,2
흑,13
진한,5
완전한,3
견고한,2
유치한다,7
건조하여,5
조하거나,1
치밀하게,2
불편함,1
편리하게,3
굳지,8
씩,2
치밀하고,2
높거나,3
유치하고,1
유치하도록,2
빠르고,2
꼬임수를,3
없고,5
만족하는지,4
느슨한,3
벌개,2
건전한,8
중요한,14
탈각,7
무선기,1
화하도록,1
두껍게,3
길지,1
연결할,8
편리한,8
입거나,1
스러,1
공평한,2
앙,4
강하게,3
물론,6
착할,2
적합한가를,3
없을,18
약한,4
부족한,28
단련하도록,1
깨끗하고,1
청결한,1
오래,2
안전하며,3
직한,3
적합하고,3
건조하고자,2
익살스러운,1
풍,17
천천히,10
히,14
장한다,1
없으면,49
마른,10
입란,2
굴려,3
붉은,1
많이,9
칠한,10
굉장히,1
아니라,11
있기,1
같은지,4
엷게,1
그을리기,1
뻣뻣한,1
만족한다는,1
연결하기도,4
신속히,19
갑작스런,1
충분한,13
칠하여,12
없었는지,1
깊숙이,1
있는가를,8
얇고,3
두꺼운가를,1
뾰족,6
동일한지,7
단단히,8
자연스러운,7
충분히,27
완전한가를,1
야립,1
높으며,1
아니거나,1
난해한,3
시를,6
입되,3
부은,4
평평히,1
연한다,6
조금씩,2
정확한지,8
있는지를,24
편리하도록,8
정당한,2
장하여,2
공정하고,2
어색한,1
연결해,2
휘한다,1
있다,26
생생하게,1
화하며,1
굵어지는,1
성장하는,1
부족할,6
성장하면,3
올바르게,5
견고하게,6
적합하지,3
심각한,1
비슷한,6
어떻게,6
숙성하고,2
신속한,15
철저히,7
적정하게,11
선하여,2
동일하게,7
필요하므로,1
건조할,7
불량할,1
필요하면,16
유효한,2
용이하고,5
미와,2
성숙한,2
있으나,2
당해,3
성실히,1
입주를,1
적응할,6
칠해진,2
미세하게,3
어떤,28
좋지,3
색다른,1
만족하는,23
일정하고,1
일정하다면,1
유연한,7
적당히,12
같아,1
어느,16
특별한,17
애매한,1
확실하고,1
쾌적하게,1
원활하지,2
빠른,5
있,4
갑작스러운,1
난폭한,1
건조하면,3
수선하기도,5
넓어,2
빨리,5
도드락,1
꾸들꾸들,1
부당하다고,1
화하거나,2
납작하게,2
커다란,2
노래하거나,1
중대한,4
양할,1
견고히,4
다르면,1
시금할,1
비슷할,1
날카롭게,3
매끈하고,4
곧게,3
원하거나,3
끊임없는,1
끈적끈적한,5
부이,1
균일하도록,4
독특하게,1
균일하고,1
만족할,4
나열하여,1
적격한,2
의한다,2
불가할,1
조치하거나,1
명확히,8
갤리,1
가까운,4
노출한다,1
칠하기도,4
불완전한,2
원할,5
위험한,9
부드러운,11
반질반질하게,1
이런,1
낡거나,6
굵기를,5
필요없는,1
굳었는가를,1
뛰어난,1
부었을,2
좋은지,2
만족하도록,3
없,2
용하거나,1
하우,12
굳을,2
길게,4
물렁물렁해진,1
긴밀한,17
부당해고,1
깨끗한,10
면밀하게,1
제제할,1
다각도로,3
헐거,1
편리하고,1
넓게,4
간략하게,1
굵기와,3
날카로운,9
원만하게,2
안된,1
역가를,1
자세한,3
부족하거나,2
급속히,1
유해한,6
찐득한,1
충분한지,5
전화하는,1
가능하면,1
다양하게,4
의하고,1
대차기에,1
대차기를,1
대차기는,1
대차구,1
근접한다,1
성실한,2
필요하다고,12
긴급한,4
필요하고,3
가능하고,2
다른지를,1
단순하고,1
명확하게,3
수선한,1
반하면서,6
칠하기,2
철저한,3
이렇게,2
빠르게,8
들뜨지,1
따로,13
심히,1
느슨함을,1
착한,4
재미있는,1
재미있게,1
적당하게,4
간략히,3
이미,7
수선할,2
꼼꼼히,2
나열하거나,1
화하기도,2
가능하게,4
이어서,2
헐겁게,2
불량하면,2
적당한지,7
극심한,1
자세히,4
높게,3
굵기가,2
가볍게,4
굳으면,7
완벽히,1
나열하고,2
알맞는,1
곤란한,3
짧고,1
자세하게,1
더한다,1
성공하는데,1
푹신하게,1
착해주는,1
충실한,1
연결해서,1
정교한,2
꾸준한,1
일목요연하게,2
건강하게,2
있으므로,5
섬세하고,1
가능한지와,1
딱딱한,1
건조하거나,4
오목한,5
가난한,2
건조해,1
필요하지,2
좋도록,1
특별히,5
이상한,2
느슨해져,1
변하기,1
불안해하지,1
그러한,5
그을리,1
유리한,5
명확한,1
낮으면,2
상관없이,1
위험하거나,1
적법한,3
강한,4
매끈함,1
깊은,3
길고,3
가급적,1
적법하게,1
입용,2
기대하는,1
있다는,2
가능한지,5
작아,1
유연하게,3
다양하고,3
만족하는지를,2
나쁜,4
곧고,1
깨끗하게,10
입거,2
적정한다,4
무겁거나,1
경미한,5
작게,2
굵기에,5
꼬여지거나,1
있어야,1
원활한지,3
검은,3
동그랗게,2
깜박깜박,1
검전,1
해로에,2
마커,2
당하지,1
숙성한다,4
너무,7
각별히,1
건전하게,1
수선하거나,4
있나,1
원하면,2
설치치수로,1
가만히,2
미흡한,4
약하거나,1
둥글고,3
부길이,1
건조하기도,4
부도어음,2
평당,1
그렇지,4
공정한다,1
강한다,3
부족하면,3
미침전,1
미의,2
충분한지를,1
칠할,1
근접하는,2
비스듬히,3
연약한,1
올바른지,1
연결하며,1
가지런히,8
매회,4
오래된,4
청결히,4
부진한,1
무의미한,1
건조해야,1
폭넓은,1
없다고,2
있다면,2
급해준다,1
의심스러운,1
칠하거나,5
어렵거나,2
있지,6
진하고,5
마르거나,1
같고,2
다름을,1
굳은,3
고운,4
자비로,1
재빨리,1
수수할,1
직하기에,1
동일하면,1
오랫동안,1
만족하였는지,1
참신함,1
성하게,1
꺼칠꺼칠한,1
조그마한,1
유사하나,1
청결하고,3
탄탄히,1
가까울수록,1
안전한지,1
머니,2
있음,6
아픈,1
입하기,2
특별하게,1
인한다,1
느린,2
손쉽게,1
주도한다,2
유연하고,1
붉,1
유능한,2
하여금,2
곤란할,1
성장한,2
정확할,1
많으므로,2
검질을,1
탁하게,1
심하게,1
저조하거나,2
알맞도록,1
착하기도,5
불가능하면,1
강화하며,1
알맞고,1
먼,2
간단히,2
착해서,1
인하기,1
유치하며,1
평안함,1
유연함,1
딱딱함,1
당하거나,1
연결하면서,1
성숙하게,1
민첩하게,1
짙은,2
변한,1
비슷해지면,1
노랗게,1
변하고,1
망한다,1
일정하지,1
급격한,5
만족하지,2
환하는,1
역구내에서,1
역내,1
변할,1
진할,2
없어,1
심할,1
망할,1
성장할,1
안락한,1
역내를,1
역하는,2
성공할,1
완전한지,1
지저분해지지,1
비쌀,1
없는가를,1
으,1
뛰어나거나,1
즐겁게,1
건강해지도록,1
면밀한,1
미비한,4
근접해,1
더러운,1
발광하는,1
마른다,1
부적합한,4
상실하거나,1
적정한지,3
적합하면,1
약하게,1
불규칙할,1
알맞으면,1
부유하도록,1
건강하며,1
방대한,1
특정하고,1
높은음,1
신나,1
정교함이,1
단정히,1
여림,1
좋아하고,1
수선하려는,1
빨간,1
면밀히,1
아니하도록,1
불편함이,4
들뜸이나,1
수많은,2
급격히,1
반하거나,1
있는지에,2
낮게,1
애매하고,1
망하기,2
화하면서,2
노후하여,1
용한다,1
흥미로운,1
딴다,1
의해서만,1
성하기도,1
동일한지를,2
칠하지,1
차가,4
연하기,1
들뜸,2
직한다,1
철저하게,1
납작한,1
산란한,1
편안해,1
자연스럽고,1
편안하고,1
좋아하던,1
반듯하게,2
미치는지,1
아니면,1
흰,1
저렴한,3
착하고자,2
비싼,1
강장,1
용해기,1
강하면서,1
없는지를,6
평탄하도록,1
불편함을,1
검수고에,1
많을,2
꼬여서,1
헐겁거나,1
균일하지,1
일정하도록,3
노후한,2
흥미롭게,1
용하여,1
넘치지,2
급하기도,1
매끄럽도록,1
때때로,1
화함으로써,1
동일하도록,1
위험하고,1
회복하기,1
어렵도록,1
굳게,1
미를,1
평평한,3
강화하는,1
건조하지,1
조화로운,1
부적절히,1
반하고,1
선하며,1
적응하도록,2
일정한지,2
명명하는,1
불가능할,6
대차거래,1
더해,2
가능할,1
충실하도록,1
조용,1
삐져,1
있다고,2
있다가,1
굳는,4
적정함수,1
위중한,1
수수하는,2
적합할,2
꼬임수,1
필요한지,1
곧은,1
굵,1
조밀하게,1
낮아서,1
충분하면,1
부열람,2
찡,1
단단한,1
부실한,1
말끔히,1
유치하기도,1
불가한,4
입주부터,1
설치지시서,2
똑같은,1
불충분하게,1
시린,1
있던,1
유해하고,1
묽게,1
칠하기를,1
급한다,1
살며시,1
없게,1
투명하게,1
들뜬,1
그러지거나,1
평탄하지,1
양하지,1
궁금했던,1
주도하며,1
울퉁불퉁한,1
높이기도,1
넘치면,2
분명한,1
양한다,1
딱딱하게,1
촘촘히,1
다르게,2
차가운,2
딱딱해지는,1
하얗게,1
강하거나,1
느슨하여,1
꼬이는,1
탄탄하게,1
좁고,1
오래도록,1
부족하지,1
똑바른지,1
강해,1
매시간,2
돌돌,1
부어지도록,1
원하는지,1
서툰,1
유치한,1
화해서,1
노란,1
연결하도록,1
역하도록,2
착하도록,1
오래되거나,1
알맞지,1
작거나,1
나쁠수록,1
용할,1
적절한지를,1
같다,1
매끄러,1
아닌지를,1
따뜻한,2
착하며,1
미는,1
같게,1
더럽고,1
오랜,1
치밀하며,1
좋을,1
아닐,1
용해기에,1
가지런한,1
미끈하게,1
그런,1
따뜻할,1
차가울,1
다르다는,1
매끄러우며,1
이드를,1
드런,1
적합한지에,1
열악한,1
필요하다,1
잘록한,1
성하고자,1
필요함,1
원만히,1
원하고,1
단정한,1
정중히,1
실할,1
실하는,1
반투명한,1
던니지,1
분해하고자,1
광범위한,1
노출하여,1
불안정한,1
불가피한,1
